"x, mkm","Potential energy, eV, VCh=0.21, VSG=-0.36","Potential energy, eV, VCh=0.24, VSG=-0.27"
-16.8,-0.08725,-0.13012
-16.7,-0.08725,-0.13012
-16.6,-0.08724,-0.13011
-16.5,-0.08723,-0.1301
-16.4,-0.08722,-0.1301
-16.3,-0.08721,-0.13009
-16.2,-0.0872,-0.13008
-16.1,-0.0872,-0.13008
-16,-0.08719,-0.13007
-15.9,-0.08718,-0.13007
-15.8,-0.08718,-0.13006
-15.7,-0.08717,-0.13006
-15.6,-0.08717,-0.13005
-15.5,-0.08716,-0.13005
-15.4,-0.08715,-0.13004
-15.3,-0.08714,-0.13003
-15.2,-0.08713,-0.13002
-15.1,-0.08713,-0.13002
-15,-0.08712,-0.13001
-14.9,-0.08711,-0.13001
-14.8,-0.0871,-0.13
-14.7,-0.0871,-0.12999
-14.6,-0.08709,-0.12999
-14.5,-0.08709,-0.12998
-14.4,-0.08708,-0.12998
-14.3,-0.08708,-0.12998
-14.2,-0.08708,-0.12998
-14.1,-0.08708,-0.12998
-14,-0.08708,-0.12998
-13.9,-0.08707,-0.12997
-13.8,-0.08707,-0.12997
-13.7,-0.08707,-0.12997
-13.6,-0.08707,-0.12997
-13.5,-0.08707,-0.12997
-13.4,-0.08706,-0.12997
-13.3,-0.08706,-0.12996
-13.2,-0.08706,-0.12996
-13.1,-0.08705,-0.12996
-13,-0.08705,-0.12995
-12.9,-0.08704,-0.12995
-12.8,-0.08704,-0.12994
-12.7,-0.08703,-0.12994
-12.6,-0.08703,-0.12994
-12.5,-0.08703,-0.12994
-12.4,-0.08702,-0.12993
-12.3,-0.08702,-0.12993
-12.2,-0.08702,-0.12993
-12.1,-0.08702,-0.12993
-12,-0.08702,-0.12993
-11.9,-0.08701,-0.12992
-11.8,-0.08701,-0.12992
-11.7,-0.08701,-0.12992
-11.6,-0.08701,-0.12992
-11.5,-0.087,-0.12992
-11.4,-0.087,-0.12991
-11.3,-0.087,-0.12991
-11.2,-0.087,-0.12991
-11.1,-0.08699,-0.12991
-11,-0.08699,-0.12991
-10.9,-0.08699,-0.12991
-10.8,-0.08699,-0.1299
-10.7,-0.08699,-0.1299
-10.6,-0.08699,-0.1299
-10.5,-0.08699,-0.1299
-10.4,-0.08698,-0.1299
-10.3,-0.08698,-0.1299
-10.2,-0.08698,-0.1299
-10.1,-0.08698,-0.1299
-10,-0.08698,-0.1299
-9.9,-0.08698,-0.1299
-9.8,-0.08698,-0.1299
-9.7,-0.08698,-0.1299
-9.6,-0.08698,-0.12989
-9.5,-0.08697,-0.12989
-9.4,-0.08697,-0.12989
-9.3,-0.08697,-0.12989
-9.2,-0.08697,-0.12989
-9.1,-0.08696,-0.12989
-9,-0.08696,-0.12988
-8.9,-0.08696,-0.12988
-8.8,-0.08696,-0.12988
-8.7,-0.08696,-0.12988
-8.6,-0.08696,-0.12988
-8.5,-0.08696,-0.12988
-8.4,-0.08696,-0.12988
-8.3,-0.08695,-0.12988
-8.2,-0.08695,-0.12988
-8.1,-0.08695,-0.12988
-8,-0.08696,-0.12988
-7.9,-0.08696,-0.12988
-7.8,-0.08696,-0.12988
-7.7,-0.08696,-0.12988
-7.6,-0.08696,-0.12988
-7.5,-0.08695,-0.12988
-7.4,-0.08695,-0.12988
-7.3,-0.08695,-0.12988
-7.2,-0.08695,-0.12987
-7.1,-0.08695,-0.12987
-7,-0.08695,-0.12987
-6.9,-0.08695,-0.12988
-6.8,-0.08695,-0.12988
-6.7,-0.08696,-0.12988
-6.6,-0.08696,-0.12988
-6.5,-0.08696,-0.12989
-6.4,-0.08696,-0.12988
-6.3,-0.08696,-0.12988
-6.2,-0.08695,-0.12988
-6.1,-0.08695,-0.12988
-6,-0.08695,-0.12987
-5.9,-0.08695,-0.12987
-5.8,-0.08694,-0.12987
-5.7,-0.08694,-0.12987
-5.6,-0.08694,-0.12987
-5.5,-0.08694,-0.12987
-5.4,-0.08694,-0.12987
-5.3,-0.08694,-0.12986
-5.2,-0.08693,-0.12986
-5.1,-0.08693,-0.12986
-5,-0.08693,-0.12986
-4.9,-0.08693,-0.12986
-4.8,-0.08693,-0.12986
-4.7,-0.08693,-0.12986
-4.6,-0.08693,-0.12986
-4.5,-0.08693,-0.12986
-4.4,-0.08693,-0.12986
-4.3,-0.08693,-0.12986
-4.2,-0.08693,-0.12986
-4.1,-0.08693,-0.12986
-4,-0.08693,-0.12986
-3.9,-0.08692,-0.12986
-3.8,-0.08692,-0.12985
-3.7,-0.08692,-0.12985
-3.6,-0.08692,-0.12985
-3.5,-0.08692,-0.12985
-3.4,-0.08692,-0.12985
-3.3,-0.08691,-0.12985
-3.2,-0.08691,-0.12985
-3.1,-0.08691,-0.12984
-3,-0.08691,-0.12984
-2.9,-0.08691,-0.12984
-2.8,-0.08691,-0.12984
-2.7,-0.08691,-0.12984
-2.6,-0.08691,-0.12985
-2.5,-0.08692,-0.12985
-2.4,-0.08692,-0.12985
-2.3,-0.08692,-0.12986
-2.2,-0.08693,-0.12986
-2.1,-0.08693,-0.12986
-2,-0.08694,-0.12987
