"Frequency, Hz","SA, V, 23mK","SA, V, 137mK","SA, V, 191mK","SA, V, 295mK","SA, V, 398mK","SA, V, 496mK","SA, V, 606mK","SA, V, 4230mK"
873550.00,0.000000479523,0.000000444014,0.000000443219,0.000000430138,0.000000436041,0.000000427967,0.000000438441,0.000000479523
873600.00,0.000000473753,0.000000431229,0.000000413209,0.000000437152,0.000000436929,0.000000428671,0.000000425511,0.000000473753
873650.00,0.000000457412,0.000000423090,0.000000433785,0.000000433762,0.000000439320,0.000000435602,0.000000440684,0.000000457412
873700.00,0.000000481271,0.000000431777,0.000000434947,0.000000438324,0.000000437764,0.000000432996,0.000000427117,0.000000481271
873750.00,0.000000473944,0.000000442583,0.000000423392,0.000000437699,0.000000429403,0.000000417335,0.000000426370,0.000000473944
873800.00,0.000000480241,0.000000432638,0.000000435520,0.000000430336,0.000000436299,0.000000431314,0.000000435797,0.000000480241
873850.00,0.000000461823,0.000000444427,0.000000431795,0.000000440005,0.000000430913,0.000000429839,0.000000417185,0.000000461823
873900.00,0.000000482265,0.000000430596,0.000000421536,0.000000432402,0.000000437580,0.000000431558,0.000000429618,0.000000482265
873950.00,0.000000475591,0.000000438077,0.000000439034,0.000000426559,0.000000430874,0.000000441070,0.000000421696,0.000000475591
874000.00,0.000000469799,0.000000430909,0.000000442891,0.000000443403,0.000000437416,0.000000432321,0.000000442170,0.000000469799
874050.00,0.000000474390,0.000000440115,0.000000438763,0.000000426816,0.000000423565,0.000000422448,0.000000426593,0.000000474390
874100.00,0.000000464369,0.000000437142,0.000000415396,0.000000436010,0.000000430345,0.000000430389,0.000000428673,0.000000464369
874150.00,0.000000473430,0.000000448560,0.000000442753,0.000000430357,0.000000443278,0.000000436590,0.000000423756,0.000000473430
874200.00,0.000000461834,0.000000428642,0.000000441360,0.000000431764,0.000000440929,0.000000444034,0.000000431388,0.000000461834
874250.00,0.000000473334,0.000000427150,0.000000441516,0.000000429775,0.000000433806,0.000000426599,0.000000429527,0.000000473334
874300.00,0.000000467080,0.000000451348,0.000000435020,0.000000435991,0.000000428588,0.000000429810,0.000000436389,0.000000467080
