deplition,CH_voltage,lockinIC_R,lockinIC_T,lockinIC_X,lockinIC_Y
-0.29428,0.1759,7.094532e-06,-124.6665,-4.035361e-06,-5.835056e-06
-0.29428,0.1758,7.364697e-06,-124.5802,-4.179926e-06,-6.063563e-06
-0.29428,0.1757,7.602e-06,-118.3726,-3.612449e-06,-6.688736e-06
-0.29428,0.1756,8.378835e-06,-122.3489,-4.483317e-06,-7.078466e-06
-0.29428,0.1755,9.77331e-06,-126.2222,-5.775231e-06,-7.884448e-06
-0.29428,0.1754,8.98127e-06,-123.7765,-4.993099e-06,-7.465269e-06
-0.29428,0.1753,9.799947e-06,-122.019,-5.195897e-06,-8.309086e-06
-0.29428,0.1752,9.316518e-06,-119.6458,-4.608297e-06,-8.096968e-06
-0.29428,0.1751,1.041747e-05,-120.9385,-5.355784e-06,-8.935192e-06
-0.29428,0.175,1.046096e-05,-124.4883,-5.923395e-06,-8.62234e-06
-0.29428,0.1749,1.02061e-05,-124.4929,-5.779758e-06,-8.411815e-06
-0.29428,0.1748,1.013248e-05,-123.2372,-5.553647e-06,-8.474841e-06
-0.29428,0.1747,1.134549e-05,-127.332,-6.880201e-06,-9.021129e-06
-0.29428,0.1746,1.082542e-05,-123.7214,-6.009735e-06,-9.00394e-06
-0.29428,0.1745,1.049928e-05,-121.85,-5.54046e-06,-8.9184e-06
-0.29428,0.1744,1.040883e-05,-119.5348,-5.131004e-06,-9.056171e-06
-0.29428,0.1743,1.007716e-05,-123.0288,-5.492622e-06,-8.448589e-06
-0.29428,0.1742,9.805697e-06,-123.0598,-5.349123e-06,-8.218081e-06
-0.29428,0.1741,9.921887e-06,-123.3258,-5.451053e-06,-8.2903e-06
-0.29428,0.174,8.687172e-06,-124.5522,-4.927011e-06,-7.154814e-06
-0.29428,0.1739,9.249776e-06,-122.8326,-5.015088e-06,-7.772125e-06
-0.29428,0.1738,8.886102e-06,-121.5809,-4.653599e-06,-7.569998e-06
-0.29428,0.1737,8.161906e-06,-124.0805,-4.573523e-06,-6.760021e-06
-0.29428,0.1736,8.117549e-06,-127.7093,-4.96512e-06,-6.421985e-06
-0.29428,0.1735,7.54146e-06,-124.6394,-4.286656e-06,-6.20467e-06
-0.29428,0.1734,6.960237e-06,-126.1033,-4.101181e-06,-5.623469e-06
-0.29428,0.1733,6.352711e-06,-120.3308,-3.208061e-06,-5.483167e-06
