"Tank pressure, bar","Condensed,mbar","liquid, cc","Freq. fit, Hz","Freq. max, Hz",Q
0.57467,2.52479,0.15543,874797.804,874812.5,1262.35434
0.57463,2.56476,0.15789,874798.1887,874862.5,1264.89666
0.5746,2.59291,0.15963,874797.6107,874787.5,1265.45249
0.57461,2.58524,0.15915,874796.9904,874812.5,1259.91387
0.57455,2.64487,0.16283,874797.2913,874812.5,1262.41598
0.57455,2.64647,0.16292,874791.9773,874862.5,1261.02203
0.57451,2.68454,0.16527,874794.137,874787.5,1264.58646
0.57451,2.6855,0.16533,874792.7327,874812.5,1255.471
0.57451,2.68661,0.16539,874792.8064,874850,1272.09801
0.57451,2.6855,0.16533,874792.7376,874875,1260.2297
0.57447,2.72515,0.16777,874788.0235,874812.5,1260.29292
0.57447,2.72515,0.16777,874787.6203,874812.5,1268.82284
0.57446,2.7381,0.16856,874787.8607,874850,1260.37305
0.57443,2.76561,0.17026,874785.0717,874800,1264.38178
0.57443,2.76769,0.17039,874785.5039,874812.5,1265.2856
0.57439,2.80719,0.17282,874783.9173,874862.5,1252.64713
0.57439,2.80591,0.17274,874785.3983,874775,1259.03564
0.57439,2.80606,0.17275,874784.3254,874862.5,1262.65427
0.57436,2.83214,0.17435,874784.7226,874812.5,1257.82966
0.57435,2.847,0.17527,874782.0465,874775,1261.6063
0.57435,2.84684,0.17526,874783.7135,874762.5,1265.99008
0.57431,2.88603,0.17767,874783.8852,874825,1254.67969
0.57427,2.92087,0.17982,874782.302,874787.5,1260.57568
0.57427,2.9276,0.18023,874781.4089,874837.5,1256.78907
0.57427,2.9268,0.18018,874780.1529,874750,1257.81785
0.57423,2.96741,0.18268,874781.6964,874812.5,1265.80542
0.57423,2.96614,0.1826,874783.831,874875,1259.93678
0.57423,2.96597,0.18259,874781.124,874812.5,1252.92765
0.57423,2.9671,0.18266,874781.4714,874775,1260.32585
0.57419,3.00547,0.18502,874780.7663,874762.5,1260.43435
0.57419,3.00675,0.1851,874781.1845,874800,1261.01628
0.57416,3.03825,0.18704,874782.006,874787.5,1255.46987
0.57415,3.04449,0.18743,874781.1331,874837.5,1259.5087
0.57411,3.08559,0.18996,874780.7384,874812.5,1261.92974
0.57411,3.08366,0.18984,874780.9539,874825,1266.89655
0.57411,3.08542,0.18995,874780.0015,874825,1265.6068
0.57407,3.12669,0.19249,874778.272,874800,1257.734
0.57404,3.1569,0.19435,874779.5665,874787.5,1257.13877
0.57403,3.1649,0.19484,874779.6065,874800,1261.78887
0.57399,3.20391,0.19724,874779.2555,874850,1252.66325
0.57399,3.20504,0.19731,874779.4106,874787.5,1255.05899
0.57399,3.20456,0.19728,874779.5377,874800,1256.19502
0.57395,3.2447,0.19975,874779.2301,874775,1255.54057
0.57395,3.24629,0.19985,874778.2736,874800,1256.62076
0.57395,3.24454,0.19974,874779.7044,874837.5,1256.94043
0.57387,3.32529,0.20471,874776.1647,874812.5,1258.02686
0.57383,3.36495,0.20715,874778.0651,874837.5,1260.17763
0.57383,3.36542,0.20718,874777.2843,874762.5,1257.69755
0.57379,3.40092,0.20937,874779.206,874787.5,1260.5976
0.57379,3.40556,0.20965,874778.8532,874825,1254.60702
0.57379,3.4062,0.20969,874776.8096,874812.5,1255.89939
0.57375,3.4465,0.21218,874777.0444,874800,1260.03518
0.57375,3.44698,0.2122,874778.1587,874825,1256.96447
0.57375,3.44601,0.21215,874778.4892,874812.5,1251.70173
0.57371,3.48647,0.21464,874776.6735,874837.5,1259.34531
0.57371,3.48664,0.21465,874775.5666,874750,1252.99943
