mwradiation_frequency,lockinIC_R,lockinIC_T
1.29983E+11,1.364484e-06,-128.975
1.29985E+11,1.840313e-06,171.5775
1.29987E+11,1.392195e-06,-118.8495
1.29989E+11,2.121968e-06,-176.342
1.29991E+11,1.058762e-06,153.3639
1.29993E+11,4.570595e-07,110.5009
1.29995E+11,9.406339e-07,-134.5813
1.29997E+11,9.333975e-07,-44.03406
1.29999E+11,1.102259e-06,-125.6636
1.30001E+11,1.298697e-06,-65.40607
1.30003E+11,8.514672e-07,-111.7903
1.30005E+11,6.761793e-07,-165.4939
1.30007E+11,5.544908e-07,-126.6873
1.30009E+11,1.01374e-06,161.5923
1.30011E+11,9.541288e-07,165.8716
1.30013E+11,1.303525e-06,-169.2958
1.30015E+11,9.346436e-07,-176.4369
1.30017E+11,9.179022e-07,-124.1775
1.30019E+11,1.510262e-06,-178.9896
1.30021E+11,1.530775e-06,-121.0638
1.30023E+11,7.727388e-07,-117.2934
1.30025E+11,8.333567e-07,-159.4116
1.30027E+11,8.550938e-07,-162.9632
1.30029E+11,1.188017e-06,-144.116
1.30031E+11,1.434328e-06,-136.5429
1.30033E+11,9.77274e-07,-147.9377
1.30035E+11,1.243561e-06,-175.9508
1.30037E+11,1.325994e-06,175.4755
1.30039E+11,6.502512e-07,-23.74153
1.30041E+11,1.145588e-06,-136.6399
1.30043E+11,8.071213e-07,-138.9687
1.30045E+11,1.303754e-06,-169.1778
1.30047E+11,8.539985e-07,-112.4145
1.30049E+11,8.243713e-07,-139.4513
1.30051E+11,1.12608e-06,166.3533
1.30053E+11,5.010981e-07,-109.0008
1.30055E+11,8.965339e-07,-139.8482
1.30057E+11,1.147292e-06,-143.2138
1.30059E+11,1.585783e-06,-145.6337
1.30061E+11,9.760446e-07,153.2747
1.30063E+11,5.017016e-07,138.446
1.30065E+11,5.375538e-07,-161.3383
1.30067E+11,1.344719e-06,-136.7099
1.30069E+11,1.224081e-06,-134.4991
1.30071E+11,8.760262e-07,-139.1978
1.30073E+11,1.149779e-06,160.1441
1.30075E+11,1.379923e-06,-160.6459
1.30077E+11,6.150305e-07,-132.4981
1.30079E+11,1.414133e-06,-162.9702
1.30081E+11,7.64681e-07,-136.73
1.30083E+11,8.658617e-07,-156.7793
1.30085E+11,1.078907e-06,-151.1075
1.30087E+11,1.727929e-06,-137.3209
1.30089E+11,2.431455e-06,-179.8117
1.30091E+11,7.39742e-07,-130.8878
1.30093E+11,1.888297e-06,-160.4169
1.30095E+11,9.352695e-07,177.3844
1.30097E+11,2.268539e-06,-175.0165
1.30099E+11,1.189101e-06,-166.3961
1.30101E+11,7.663797e-07,-148.0566
1.30103E+11,6.000772e-07,-167.5081
1.30105E+11,1.46277e-06,178.7684
1.30107E+11,7.111206e-07,-87.34788
1.30109E+11,1.418542e-06,128.9077
1.30111E+11,1.372519e-06,-115.3797
1.30113E+11,4.181396e-07,169.6647
1.30115E+11,7.304102e-07,-110.8383
1.30117E+11,1.568354e-06,157.3546
1.30119E+11,6.924122e-07,-168.0169
1.30121E+11,1.133456e-06,-156.5791
1.30123E+11,8.169505e-07,-154.0668
1.30125E+11,8.551832e-07,-152.6331
1.30127E+11,6.371978e-07,-87.92477
1.30129E+11,1.769833e-06,-168.113
1.30131E+11,1.557709e-06,-172.6571
1.30133E+11,5.810614e-07,85.74975
1.30135E+11,7.144678e-07,164.0174
1.30137E+11,1.48263e-06,153.0483
1.30139E+11,1.280279e-06,133.1031
1.30141E+11,8.168611e-07,177.9999
1.30143E+11,9.197294e-07,-173.3285
1.30145E+11,5.149561e-07,123.5166
1.30147E+11,7.155686e-07,125.7038
1.30149E+11,4.22012e-07,-177.8985
1.30151E+11,1.088568e-06,139.5623
1.30153E+11,9.381975e-07,139.1121
1.30155E+11,1.216957e-06,150.2806
1.30157E+11,4.213582e-07,-93.3148
1.30159E+11,5.161799e-07,69.72637
1.30161E+11,1.1716e-06,122.6074
1.30163E+11,6.947815e-07,117.2986
1.30165E+11,1.224143e-06,123.5944
1.30167E+11,9.65517e-07,175.9333
1.30169E+11,2.866722e-07,161.9001
1.30171E+11,5.617551e-08,-25.95766
1.30173E+11,5.809217e-07,171.9429
1.30175E+11,1.750795e-06,121.8471
1.30177E+11,6.203502e-07,84.8356
1.30179E+11,4.550814e-07,-138.6662
1.30181E+11,7.258784e-07,70.77536
1.30183E+11,2.222601e-07,104.7718
1.30185E+11,3.83377e-07,96.78688
1.30187E+11,1.006526e-06,113.1121
1.30189E+11,3.767497e-07,96.01415
1.30191E+11,7.857028e-07,-142.8615
1.30193E+11,6.315987e-07,-28.82684
1.30195E+11,7.893405e-07,44.18617
1.30197E+11,1.078689e-06,-158.9028
1.30199E+11,1.265499e-06,-153.5317
1.30201E+11,8.452702e-07,142.636
1.30203E+11,2.560839e-07,147.1128
1.30205E+11,1.127567e-06,29.79802
1.30207E+11,8.031371e-07,-71.53596
1.30209E+11,7.171276e-07,123.2176
1.30211E+11,3.983862e-07,-39.97689
1.30213E+11,3.430601e-07,93.47916
1.30215E+11,8.661188e-07,-35.93644
1.30217E+11,1.20957e-06,-109.4327
1.30219E+11,4.698671e-07,-26.6081
1.30221E+11,4.152674e-07,22.74849
1.30223E+11,6.455294e-07,158.7087
1.30225E+11,1.249758e-06,-67.74631
1.30227E+11,5.782283e-07,99.44535
1.30229E+11,8.367653e-07,169.8745
1.30231E+11,1.973966e-06,165.6889
1.30233E+11,1.676218e-06,178.2054
