"x, mkm","Potential energy, eV, VCh=0.01, VSG=-0.55","Potential energy, eV, VCh=0.05 V, VSG=-0.5","Potential energy, eV, VCh=0.1 V, VSG=-0.44","Potential energy, eV, VCh=0.15 V, VSG= -0.39"
-59.4,0.08842,0.04797,-0.00213,-0.05042
-59.3,0.08869,0.04822,-0.0019,-0.05021
-59.2,0.08895,0.04847,-0.00168,-0.05
-59.1,0.08921,0.04871,-0.00146,-0.0498
-59,0.08946,0.04895,-0.00124,-0.04961
-58.9,0.08971,0.04918,-0.00104,-0.04941
-58.8,0.08995,0.0494,-8.32E-04,-0.04923
-58.7,0.09021,0.04964,-6.18E-04,-0.04903
-58.6,0.09045,0.04987,-4.08E-04,-0.04884
-58.5,0.0907,0.05009,-2.01E-04,-0.04865
-58.4,0.09094,0.05032,1.27E-06,-0.04846
-58.3,0.09117,0.05053,2.00E-04,-0.04828
-58.2,0.0914,0.05075,3.94E-04,-0.0481
-58.1,0.09163,0.05096,5.85E-04,-0.04793
-58,0.09185,0.05116,7.72E-04,-0.04775
-57.9,0.09207,0.05136,9.54E-04,-0.04759
-57.8,0.09228,0.05156,0.00113,-0.04742
-57.7,0.09249,0.05175,0.00131,-0.04726
-57.6,0.09269,0.05194,0.00148,-0.04711
-57.5,0.09289,0.05213,0.00165,-0.04695
-57.4,0.0931,0.05232,0.00182,-0.04679
-57.3,0.09329,0.0525,0.00199,-0.04664
-57.2,0.09349,0.05269,0.00215,-0.04649
-57.1,0.09368,0.05286,0.00232,-0.04634
-57,0.09387,0.05304,0.00248,-0.04619
-56.9,0.09406,0.05321,0.00263,-0.04605
-56.8,0.09424,0.05338,0.00279,-0.04591
-56.7,0.09442,0.05355,0.00294,-0.04577
-56.6,0.0946,0.05372,0.00309,-0.04563
-56.5,0.09478,0.05388,0.00324,-0.0455
-56.4,0.09495,0.05404,0.00338,-0.04536
-56.3,0.09512,0.0542,0.00353,-0.04522
-56.2,0.0953,0.05436,0.00368,-0.04509
-56.1,0.09547,0.05452,0.00382,-0.04496
-56,0.09564,0.05468,0.00397,-0.04482
-55.9,0.09581,0.05484,0.00411,-0.04469
-55.8,0.09597,0.05499,0.00425,-0.04456
-55.7,0.09614,0.05515,0.00439,-0.04443
-55.6,0.0963,0.0553,0.00453,-0.04431
-55.5,0.09646,0.05545,0.00466,-0.04418
-55.4,0.09662,0.0556,0.0048,-0.04406
-55.3,0.09678,0.05574,0.00493,-0.04393
-55.2,0.09693,0.05589,0.00506,-0.04381
-55.1,0.09709,0.05603,0.00519,-0.04369
-55,0.09724,0.05617,0.00532,-0.04357
-54.9,0.09739,0.05631,0.00545,-0.04345
-54.8,0.09754,0.05645,0.00558,-0.04333
-54.7,0.09769,0.0566,0.00571,-0.04321
-54.6,0.09784,0.05674,0.00584,-0.04309
-54.5,0.098,0.05688,0.00597,-0.04297
-54.4,0.09815,0.05702,0.0061,-0.04285
-54.3,0.0983,0.05716,0.00623,-0.04273
-54.2,0.09845,0.0573,0.00636,-0.04261
-54.1,0.0986,0.05744,0.00649,-0.04249
-54,0.09875,0.05758,0.00662,-0.04237
-53.9,0.0989,0.05773,0.00675,-0.04224
-53.8,0.09905,0.05787,0.00688,-0.04212
-53.7,0.0992,0.05801,0.00702,-0.04199
-53.6,0.09936,0.05816,0.00715,-0.04187
-53.5,0.09951,0.0583,0.00729,-0.04174
-53.4,0.09967,0.05845,0.00742,-0.04161
-53.3,0.09982,0.0586,0.00756,-0.04148
-53.2,0.09998,0.05874,0.0077,-0.04135
-53.1,0.10014,0.05889,0.00784,-0.04121
-53,0.10029,0.05904,0.00798,-0.04108
-52.9,0.10046,0.0592,0.00813,-0.04094
-52.8,0.10063,0.05937,0.00829,-0.04079
-52.7,0.10081,0.05954,0.00845,-0.04063
-52.6,0.10099,0.05971,0.00861,-0.04047
-52.5,0.10118,0.05989,0.00879,-0.04031
-52.4,0.10137,0.06008,0.00896,-0.04013
-52.3,0.10157,0.06027,0.00915,-0.03996
-52.2,0.10177,0.06046,0.00933,-0.03977
-52.1,0.10198,0.06066,0.00953,-0.03958
-52,0.10219,0.06087,0.00972,-0.03939
-51.9,0.10241,0.06108,0.00993,-0.03919
-51.8,0.10264,0.0613,0.01014,-0.03898
-51.7,0.10289,0.06154,0.01038,-0.03875
-51.6,0.10312,0.06178,0.0106,-0.03852
-51.5,0.10336,0.062,0.01082,-0.03831
-51.4,0.10358,0.06222,0.01103,-0.0381
-51.3,0.1038,0.06243,0.01124,-0.0379
-51.2,0.10401,0.06264,0.01144,-0.0377
-51.1,0.10421,0.06283,0.01163,-0.03751
-51,0.10441,0.06302,0.01181,-0.03733
-50.9,0.1046,0.06321,0.01198,-0.03716
-50.8,0.10478,0.06338,0.01215,-0.037
-50.7,0.10495,0.06355,0.01232,-0.03684
-50.6,0.10506,0.06365,0.0124,-0.03676
-50.5,0.10513,0.06371,0.01246,-0.0367
-50.4,0.10519,0.06376,0.01251,-0.03667
-50.3,0.10522,0.0638,0.01253,-0.03665
-50.2,0.10525,0.06381,0.01254,-0.03665
-50.1,0.10525,0.06381,0.01253,-0.03667
-50,0.10524,0.06379,0.01251,-0.0367
-49.9,0.10522,0.06376,0.01246,-0.03675
-49.8,0.10517,0.06371,0.0124,-0.03682
-49.7,0.10511,0.06364,0.01233,-0.03691
-49.6,0.10503,0.06356,0.01223,-0.03701
-49.5,0.10495,0.06347,0.01214,-0.03712
-49.4,0.10488,0.0634,0.01206,-0.03721
-49.3,0.10482,0.06333,0.01198,-0.0373
-49.2,0.10476,0.06326,0.01191,-0.03738
-49.1,0.10471,0.0632,0.01184,-0.03745
-49,0.10466,0.06315,0.01178,-0.03752
-48.9,0.10462,0.0631,0.01172,-0.03759
-48.8,0.10458,0.06305,0.01167,-0.03765
-48.7,0.10454,0.06301,0.01162,-0.03771
-48.6,0.10451,0.06297,0.01157,-0.03776
-48.5,0.10448,0.06294,0.01153,-0.03781
-48.4,0.10446,0.06292,0.0115,-0.03785
-48.3,0.10445,0.0629,0.01148,-0.03788
-48.2,0.10445,0.06289,0.01146,-0.0379
-48.1,0.10445,0.06289,0.01145,-0.03792
-48,0.10445,0.06288,0.01144,-0.03794
-47.9,0.10445,0.06288,0.01143,-0.03795
-47.8,0.10446,0.06288,0.01143,-0.03796
-47.7,0.10447,0.06289,0.01143,-0.03797
-47.6,0.10448,0.0629,0.01143,-0.03797
-47.5,0.1045,0.06291,0.01144,-0.03797
-47.4,0.10452,0.06292,0.01144,-0.03797
-47.3,0.10454,0.06294,0.01146,-0.03796
